Record ID,Institution Name:,Please indicate your gender:,Please indicate your racial/ethnic identity:  (You may select more than one option.),What is your current marital status?  (You may select more than one option.),Please indicate your current appointment:  (You may select more than one option.),Track: Other,"In your career as faculty, have you had any leadership title or role?","In your career as faculty, how many leadership positions have you held?","What is the highest incentivized leadership position have you had?  (Incentives may be monetary, less clinic time, etc.)","As faculty, on average, how many publications have you published per year in peer-reviewed journals over the last 5 years?",How many publications were you first or last author?,"What is the total number of funded projects or studies to date?  (A funded project or study is defined as one for which you were a principal investigator (PI), co-PI, site PI, or co-investigator receiving salary support.)",Please select the types of funding sources for your projects or studies.  (You may select more than one option.),Funding Sources: Other,"What is the maximum funding for a single grant or funding source you have received as faculty? (in US dollars, including total cost (direct and indirect))","As faculty, how many total awards have you received to date?",At which level were the awards given?  (You may select more than one option.),Level of awards: Other,"As faculty, how many total times have you been invited as a guest speaker?  (A guest speaking engagement is defined as occurring outside your current department ex. grand rounds, workshop lead, panelist.)",At which level were the guest speaking engagements given?  (You may select more than one option.),Level of guest speaking arrangements: Other,The demands of my family and/or spouse/partner interfere with my work-related activities.,I have to put off doing things at work because of the demands on my time at home.,Things I want to do at work do not get done because of the demands of my family and/or spouse/partner.,"My home life interferes with my responsibilities at work such as getting to work on time, accomplishing daily tasks, and working overtime.",Family-related strain interferes with my ability to perform job-related duties.,Domestic responsibilities are shared equally with spouse/partner.,Taking care of children when they are sick at home,Taking days off from work when children are sick,"Handling chores related to childcare (eg, laundry, cooking, cleaning)",Managing children's activities and schedule,Playing or doing activities with children,Does your work/career interfere with your personal life?,In what ways does your work/career interfere with your personal life?,Are you interested in answering questions on burnout?,Why are you not interested in answering questions on burnout?,"In general, how do you feel about your time? Would you say that you feel rushed?","Pre-COVID: Overall, based on your definition of burnout, how would you rate your level of burnout?",I deal very effectively with the problems of my patients.,I feel I treat some patients as if they were impersonal objects.,I feel emotionally drained from my work.,I feel fatigued when I get up in the morning and have to face another day on the job.,I've become more callous towards people since I took this job.,I feel I'm positively influencing other people's lives through my work.,Working with people all day is really a strain for me.,I don't really care what happens to some patients.,I feel exhilarated after working closely with my patients.
163,3,Man,White,Married,Clinician Track (clinical appointment with no academic appointment),,No,,,0,,0,,,,0,,,0,,,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Strongly Agree (6),,,,,,Rarely,Occasionally have to work extended hours to address patient emergencies,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,Once per month or less,A few times per year,A few times per year,Every day,A few times per year,A few times per year,A few times per week
164,3,Man,White,Married,Academic Track - Research,,No,,,25,8,0,,,,0,,,5,"Institutional,Regional,National",,Agree (5),Disagree (3),Agree (5),Disagree (3),Disagree (3),Disagree (3),,,,,,Always,,Yes,,Always feel rushed,5 Completely burned out,Never,Never,Never,Never,Never,Never,Never,Never,Never
165,3,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching,Tenure Track",,Yes,3,Clerkship Director,2,1,5,"Institutional grants,Foundational grants,Industry trials",,1258515,1,Institutional,,39,"Local,Regional,National",,Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Strongly Disagree (2),Agree (5),,,,,,Sometimes,"Time, constant list of unfinished work tasks, hassle of scheduling any time away from office (canceling clinics in advance), surplus of work that always results from taking any time away.",Yes,,Sometimes feel rushed,2 Slightly burned out,A few times per week,Never,A few times per month,A few times per year,Never,Once per week,A few times per month,A few times per year,A few times per month
166,3,Woman,Not reported,Single,"Academic Track - Research,Tenure Track",tenured,Yes,1,no incentive,3,2,20,"NIH grants,Foundational grants,Other: {sourceetc}",Department of Defense,"2,000,000",20,"National,International",,100,"Institutional,Local,Regional,National,International",,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,Rarely,,No,Prefer to not answer,,,,,,,,,,,
167,3,Woman,White,Married,Academic Track - Teaching,,Yes,3,program director,9,1,4,"NIH grants,Industry trials",,,3,"Institutional,National",,22,"Institutional,Local,Regional,National",,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Disagree (3),Other caregiver,Share equally,I do more,I do more,Partner does more,Sometimes,,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per year,Once per month or less,A few times per month,Never,A few times per month,A few times per month,Never,A few times per year
168,7,Man,White,Single,"Academic Track - Clinical (clinical appointment with academic appointment),Tenure Track",,Yes,4,program director,1,25,15,"NIH grants,Institutional grants,Foundational grants,Industry trials",,200000,1,Local,,10,"Institutional,Local,Regional,National",,Disagree (3),Disagree (3),Disagree (3),Neither Agree or Disagree (4),Disagree (3),N/A,,,,,,Often,Frequent on call days limits my recreation time.  ,Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Once per week,A few times per week,Once per month or less,Once per month or less,A few times per week,Once per month or less,Once per month or less,A few times per week
169,3,Woman,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching,Tenure Track",,No,,,1,5,0,,,,4,"Institutional,National",,20,"Institutional,Local,Regional,National",,Strongly Agree (6),Strongly Agree (6),Strongly Disagree (2),Strongly Agree (6),Agree (5),Agree (5),Other caregiver,Other caregiver,I do more,I do more,Partner does more,Often,,No,Survey fatigue,,,,,,,,,,,
170,3,Man,White,Married,"Academic Track - Teaching,Tenure Track",,Yes,5,None,2,5,4,"NIH grants,Not-for-profit organizational grants",,20000,3,Institutional,,2,National,,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Share equally,Partner does more,Partner does more,Partner does more,Partner does more,Sometimes,,No,Survey fatigue,,,,,,,,,,,
171,3,Woman,White,Divorced,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching",,Yes,2,none incentivized,1,1,2,"NIH grants,Industry trials",,unsure,0,,,10,"Institutional,Local,International",,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Disagree (3),Disagree (3),I do more,Share equally,I do more,I do more,I do more,Often,"I don't know how you define personal life but I certainly am limited in what I can attend for my child and often has to ask for assistance on weekends to round, e.g.",Yes,,Always feel rushed,3 Moderately burned out,Every day,A few times per year,A few times per year,A few times per year,Never,Every day,A few times per month,Never,Once per month or less
172,2,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,40%,4,20,5,"Not-for-profit organizational grants,Foundational grants,Industry trials",,,5,"Institutional,Regional,National",,100,"Institutional,Local,Regional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),Disagree (3),Disagree (3),Neither Agree or Disagree (4),Partner does more,Partner does more,Partner does more,Share equally,Share equally,Sometimes,Sometimes I have to miss family activities due to work. ,Yes,,Sometimes feel rushed,1 Not at all burned out,Every day,Never,Once per month or less,Never,Never,Every day,Never,Never,Every day
173,2,Woman,White,Married,Academic Track - Research,,Yes,2,Vice-Chair,45,17,12,"NIH grants,Institutional grants,Foundational grants",,"$10,000,000 ",5,National,,50,"Regional,National,International",,Agree (5),Agree (5),Agree (5),Disagree (3),Agree (5),Agree (5),,,,,,Often,Stress and anxiety about uncompleted tasks.  Concern over being respected and acknowledged. ,No,Already answered in a previous burnout survey,,,,,,,,,,,
174,2,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Tenure Track",,Yes,4,Chief of Neurology,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching,Tenure Track",,Yes,3,Stroke Director at the VA,1,2,1,NIH grants,,80000,1,Institutional,,2,Regional,,Strongly Agree (6),Strongly Agree (6),Very Strongly Agree (7),Agree (5),Agree (5),Agree (5),I do more,Share equally,I do more,I do more,I do more,Sometimes,,Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,A few times per month,A few times per week,Every day,A few times per week,Once per week,A few times per week,Once per month or less,A few times per year
176,2,Woman,Asian,Married,Clinician Track (clinical appointment with no academic appointment),,No,,,2,2,0,,,,0,,,0,,,Disagree (3),Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Disagree (3),Partner does more,Partner does more,I do more,I do more,Share equally,Sometimes,I do not get enough time during the week to finish inbasket and often need to do it on Saturday morning,No,Survey fatigue,,,,,,,,,,,
177,2,Woman,White,Long-term committed relationship,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,3,2,0,,,,0,,,3,Institutional,,Agree (5),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Often,,Yes,,Always feel rushed,2 Slightly burned out,Every day,Never,A few times per week,A few times per week,Once per month or less,A few times per week,Once per week,Never,Once per week
178,2,Man,White,Married,Academic Track - Research,,No,,,7,1,47,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,"12,600,000",47,"Institutional,National",,30,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),Disagree (3),,,,,,Sometimes,Causes stress,No,Prefer to not answer,,,,,,,,,,,
179,15,Woman,White,Single,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching",,Yes,2,neither are incentivized,0,,1,Industry trials,,,1,National,,0,,,Very Strongly Disagree (1),Agree (5),Very Strongly Disagree (1),Disagree (3),Very Strongly Disagree (1),N/A,,,,,,Often,Constantly focused on work responsibilities/goals and have put dating as a lower priority.,Yes,,Always feel rushed,3 Moderately burned out,Every day,Never,Once per week,A few times per month,Never,Every day,Once per month or less,A few times per year,A few times per week
180,2,Man,White,Married,Academic Track - Teaching,,Yes,4,Hospital chief of staff,1,5,0,,,,6,Institutional,,10,"Institutional,Regional,National,International",,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Agree (5),,,,,,Never,,Yes,,Almost never feel rushed,1 Not at all burned out,A few times per month,Never,Never,Never,Never,A few times per year,Never,Never,Once per month or less
181,13,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,0,19,16,3,"Institutional grants,Industry trials",,"50,000",9,Institutional,departmental awards,8,"Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),Share equally,Share equally,Share equally,Share equally,Share equally,Often,don't get home on time  Have missed many  personal events due to work,Yes,,Always feel rushed,3 Moderately burned out,Every day,Never,A few times per week,Once per week,Never,Every day,Never,Never,Every day
182,2,Woman,Asian,Separated,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,0,1,1,1,Medical societies,,800,0,,,4,"Local,Regional,National",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Very Strongly Agree (7),Neither Agree or Disagree (4),,,,,,Rarely,Trouble with finding a partner/getting settled and traveling ,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,Never,Never,Never,Every day,Never,Never,Every day
183,3,Man,White,Widowed,Non-Tenure,,Yes,2,associate clinical director division,6,4,20,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants",,"300,000",20,"Institutional,National",,10,"Institutional,Local,Regional,National",,N/A,Disagree (3),N/A,Strongly Disagree (2),N/A,N/A,,,,,,Sometimes,limits time to outside activities,No,Survey fatigue,,,,,,,,,,,
184,10,Man,Black or African American,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Program Director,0,,6,Industry trials,,,1,Institutional,,15,"Institutional,Local,Regional,National",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Neither Agree or Disagree (4),Disagree (3),Partner does more,Does not apply,Share equally,Share equally,Share equally,Sometimes,,No,Survey fatigue,,,,,,,,,,,
185,13,Woman,White,Married,Clinician Track (clinical appointment with no academic appointment),,Yes,2,Neuropsychology Training Director,4,5,7,"NIH grants,Institutional grants,Foundational grants,Industry trials",,"$25,000 PI; $1,000,000 x5 years as Co-I",2,Institutional,,9,"Institutional,Local,Regional,National",,Strongly Agree (6),Strongly Agree (6),Agree (5),Disagree (3),Strongly Disagree (2),Agree (5),I do more,I do more,Share equally,Share equally,I do more,Often,"Stress, burnout, overflow work brought home. ",Yes,,Always feel rushed,3 Moderately burned out,Every day,A few times per year,Every day,A few times per week,A few times per month,A few times per week,A few times per year,Never,A few times per week
186,13,Woman,White,Single,Academic Track - Research,,No,,,4,6,2,"Institutional grants,Other: {sourceetc}",DoD,"$735,000 ",4,"Institutional,National",,0,,,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),N/A,,,,,,Sometimes,"Having to work while on vacation, working ""after hours"", exhaustion from work hindering personal life",Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,A few times per week,A few times per week,A few times per year,Once per month or less,A few times per year,Never,A few times per week
187,13,Man,White,Married,Tenure Track,,Yes,30,5,10,8,50,"NIH grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,"$5,000,000 ",50,National,,100,"Institutional,Local,Regional,National,International",,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),Neither Agree or Disagree (4),,,,,,Rarely,,No,Survey fatigue,,,,,,,,,,,
188,13,Woman,Asian,Married,"Academic Track - Research,Tenure Track",,No,,,1,2,7,"NIH grants,Institutional grants,Other: {sourceetc}","VA grant, Regional grant","$912,395 ",1,Institutional,,5,"Regional,National",,Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Strongly Agree (6),Very Strongly Disagree (1),I do more,I do more,I do more,I do more,I do more,Always,"Time spent with child when on service but also on clinic days coming home late, distracted during family time by pages, emails and work, missing vacation days due to inflexibilty of clinic scheduling and required 6 week advance notice for cancellations, texts/emails from patients. ",Yes,,Always feel rushed,2 Slightly burned out,Once per week,A few times per year,A few times per month,A few times per month,A few times per month,A few times per week,Once per week,A few times per year,A few times per month
189,2,Man,White,Married,Clinician Track (clinical appointment with no academic appointment),,No,,,0,,0,,,,0,,,0,,,Disagree (3),Disagree (3),Very Strongly Disagree (1),Strongly Disagree (2),Disagree (3),Agree (5),,,,,,Rarely,,No,Prefer to not answer,,,,,,,,,,,
190,13,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,no incentive,1,2,3,Institutional grants,,"200,000",2,Institutional,,31,"Institutional,Local,Regional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),Disagree (3),Neither Agree or Disagree (4),Very Strongly Agree (7),Share equally,Share equally,Share equally,Partner does more,Partner does more,Sometimes,Work amount/workflow sometimes interferes with opportunities to engage in personal/family activities.,Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,A few times per month,A few times per year,A few times per year,Every day,A few times per year,Never,Every day
